Study,Treatment,Response,N,Baseline
1,1,9,140,1
1,3,23,140,1
1,4,10,138,1
2,2,11,78,2
2,3,12,85,2
2,4,29,170,2
3,1,75,731,1
3,3,363,714,1
4,1,2,106,1
4,3,9,205,1
5,1,58,549,1
5,3,237,1561,1
6,1,0,33,1
6,3,9,48,1
7,1,3,100,1
7,3,31,98,1
8,1,1,31,1
8,3,26,95,1
9,1,6,39,1
9,3,17,77,1
10,1,79,702,1
10,2,77,694,1
11,1,18,671,1
11,2,21,535,1
12,1,64,642,1
12,3,107,761,1
13,1,5,62,1
13,3,8,90,1
14,1,20,234,1
14,3,34,237,1
15,1,0,20,1
15,4,9,20,1
16,1,8,116,1
16,2,19,149,1
17,1,95,1107,1
17,3,143,1031,1
18,1,15,187,1
18,3,36,504,1
19,1,78,584,1
19,3,73,675,1
20,1,69,1177,1
20,3,54,888,1
21,2,20,49,2
21,3,16,43,2
22,2,7,66,2
22,4,32,127,2
23,3,12,76,3
23,4,20,74,3
24,3,9,55,3
24,4,3,26,3